epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,44.1061,2.32763,1.03231,0.87718,0.7327,0.70152,0.7362,0.3367,1.95394,0.97238,0.87297,0.0002675,0.0002675,0.0002675
177,44.3368,2.24968,1.03677,0.84155,0.7327,0.70152,0.7362,0.3367,1.95394,0.97238,0.87297,0.0002576,0.0002576,0.0002576
178,44.5416,2.37476,1.0616,0.88706,0.7327,0.70152,0.7362,0.3367,1.95394,0.97238,0.87297,0.0002477,0.0002477,0.0002477
179,44.7414,2.05429,0.96242,0.89577,0.7327,0.70152,0.7362,0.3367,1.95394,0.97238,0.87297,0.0002378,0.0002378,0.0002378
180,44.9811,2.13879,0.99851,0.85902,0.7157,0.71669,0.73109,0.32789,1.98757,0.97703,0.87459,0.0002279,0.0002279,0.0002279
181,45.1911,2.44103,1.06703,0.84104,0.7157,0.71669,0.73109,0.32789,1.98757,0.97703,0.87459,0.000218,0.000218,0.000218
182,45.4108,2.28322,1.02205,0.84547,0.7157,0.71669,0.73109,0.32789,1.98757,0.97703,0.87459,0.0002081,0.0002081,0.0002081
183,45.6384,2.79355,1.1098,0.84006,0.7157,0.71669,0.73109,0.32789,1.98757,0.97703,0.87459,0.0001982,0.0001982,0.0001982
184,45.8536,2.4096,1.03812,0.83217,0.71859,0.70995,0.7311,0.31032,2.05754,0.98248,0.8781,0.0001883,0.0001883,0.0001883
185,46.0543,2.16912,0.99224,0.9137,0.71859,0.70995,0.7311,0.31032,2.05754,0.98248,0.8781,0.0001784,0.0001784,0.0001784
186,46.2668,2.06963,0.958,0.83079,0.71859,0.70995,0.7311,0.31032,2.05754,0.98248,0.8781,0.0001685,0.0001685,0.0001685
187,46.4969,2.94218,1.22224,0.84075,0.71859,0.70995,0.7311,0.31032,2.05754,0.98248,0.8781,0.0001586,0.0001586,0.0001586
188,46.8074,3.12851,1.22215,0.82739,0.70168,0.71669,0.7229,0.30416,2.07671,0.98269,0.87967,0.0001487,0.0001487,0.0001487
189,47.0045,2.16004,1.0117,0.8794,0.70168,0.71669,0.7229,0.30416,2.07671,0.98269,0.87967,0.0001388,0.0001388,0.0001388
190,47.2328,2.53742,1.08432,0.84857,0.70168,0.71669,0.7229,0.30416,2.07671,0.98269,0.87967,0.0001289,0.0001289,0.0001289
191,49.0073,2.16567,1.09591,0.86201,0.70168,0.71669,0.7229,0.30416,2.07671,0.98269,0.87967,0.000119,0.000119,0.000119
192,49.3858,2.04087,0.97234,0.9145,0.7116,0.72175,0.73021,0.30594,2.07593,0.98041,0.8792,0.0001091,0.0001091,0.0001091
193,49.7377,2.62446,1.47227,0.85118,0.7116,0.72175,0.73021,0.30594,2.07593,0.98041,0.8792,9.92e-05,9.92e-05,9.92e-05
194,49.9782,2.1915,1.09718,0.88944,0.7116,0.72175,0.73021,0.30594,2.07593,0.98041,0.8792,8.93e-05,8.93e-05,8.93e-05
195,50.213,2.02748,1.02438,0.82903,0.7116,0.72175,0.73021,0.30594,2.07593,0.98041,0.8792,7.94e-05,7.94e-05,7.94e-05
196,50.409,2.51935,1.49309,0.87557,0.70005,0.72681,0.72789,0.30838,2.06097,0.97711,0.87774,6.95e-05,6.95e-05,6.95e-05
