epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15.4828,2.81769,1.38459,0.9484,0.52255,0.4688,0.42625,0.14323,2.62053,1.39946,0.97805,0.000653581,0.000653581,0.000653581
43,15.6974,2.73416,1.44217,0.98256,0.51972,0.4489,0.39573,0.13566,2.67907,1.3534,0.98822,0.000665364,0.000665364,0.000665364
44,15.9134,2.81937,1.34827,0.9421,0.51972,0.4489,0.39573,0.13566,2.67907,1.3534,0.98822,0.000676949,0.000676949,0.000676949
45,16.1922,2.95195,1.44929,0.9463,0.54235,0.46712,0.42198,0.14842,2.58379,1.32744,0.96487,0.000688336,0.000688336,0.000688336
46,16.3954,2.77743,1.4058,0.99052,0.54235,0.46712,0.42198,0.14842,2.58379,1.32744,0.96487,0.000699525,0.000699525,0.000699525
47,16.6147,2.60436,1.33898,0.97754,0.53494,0.47555,0.43222,0.15464,2.57827,1.29032,0.96414,0.000710516,0.000710516,0.000710516
48,16.8114,2.46606,1.25804,0.98745,0.53494,0.47555,0.43222,0.15464,2.57827,1.29032,0.96414,0.000721309,0.000721309,0.000721309
49,17.0283,3.10018,1.45503,0.92023,0.54412,0.45194,0.42438,0.14568,2.67857,1.25618,0.99561,0.000731904,0.000731904,0.000731904
50,17.2399,2.82324,1.3598,0.94249,0.54412,0.45194,0.42438,0.14568,2.67857,1.25618,0.99561,0.000742301,0.000742301,0.000742301
51,17.4416,2.87539,1.39573,0.93858,0.52749,0.39798,0.36717,0.11885,2.84809,1.27591,1.03747,0.0007525,0.0007525,0.0007525
52,17.6681,2.89389,1.34822,0.9462,0.52749,0.39798,0.36717,0.11885,2.84809,1.27591,1.03747,0.000762501,0.000762501,0.000762501
53,17.8687,3.24184,1.46981,0.92345,0.52749,0.39798,0.36717,0.11885,2.84809,1.27591,1.03747,0.000772304,0.000772304,0.000772304
54,18.062,2.33244,1.18605,0.95163,0.52786,0.4374,0.39994,0.13761,2.72606,1.27231,1.00934,0.000781909,0.000781909,0.000781909
55,18.291,2.94983,1.31282,0.9154,0.52786,0.4374,0.39994,0.13761,2.72606,1.27231,1.00934,0.000791316,0.000791316,0.000791316
56,18.5126,2.74926,1.38945,0.93982,0.52786,0.4374,0.39994,0.13761,2.72606,1.27231,1.00934,0.000800525,0.000800525,0.000800525
57,18.7407,2.90295,1.35566,0.9267,0.59038,0.49747,0.48041,0.18102,2.49571,1.28825,0.95376,0.000809536,0.000809536,0.000809536
58,18.9485,3.15476,1.40941,0.90656,0.59038,0.49747,0.48041,0.18102,2.49571,1.28825,0.95376,0.000818349,0.000818349,0.000818349
59,19.1824,3.03077,1.35094,0.91515,0.59038,0.49747,0.48041,0.18102,2.49571,1.28825,0.95376,0.000826964,0.000826964,0.000826964
60,19.3997,2.49571,1.25448,1.01969,0.61436,0.52654,0.49409,0.1902,2.4369,1.31226,0.94536,0.000835381,0.000835381,0.000835381
61,19.6324,3.11515,1.42838,0.92251,0.61436,0.52654,0.49409,0.1902,2.4369,1.31226,0.94536,0.0008436,0.0008436,0.0008436
62,19.8378,2.93599,1.36536,0.91193,0.61436,0.52654,0.49409,0.1902,2.4369,1.31226,0.94536,0.000851621,0.000851621,0.000851621
63,20.0325,2.14854,1.12829,0.94924,0.63889,0.48929,0.49613,0.19091,2.45147,1.32256,0.95033,0.000859444,0.000859444,0.000859444
64,20.2232,2.30707,1.17944,0.95064,0.63889,0.48929,0.49613,0.19091,2.45147,1.32256,0.95033,0.000867069,0.000867069,0.000867069
65,20.4333,2.77048,1.36412,0.93943,0.63889,0.48929,0.49613,0.19091,2.45147,1.32256,0.95033,0.000874496,0.000874496,0.000874496
66,20.6438,2.21417,1.11775,0.90783,0.61355,0.47386,0.47936,0.17973,2.46795,1.33069,0.95323,0.000881725,0.000881725,0.000881725
67,20.8373,2.30671,1.14226,0.90435,0.61355,0.47386,0.47936,0.17973,2.46795,1.33069,0.95323,0.000888756,0.000888756,0.000888756
68,21.0211,2.39627,1.23347,0.92653,0.61355,0.47386,0.47936,0.17973,2.46795,1.33069,0.95323,0.000895589,0.000895589,0.000895589
69,21.2231,2.60376,1.22095,0.8971,0.60453,0.48904,0.49715,0.18621,2.45355,1.30126,0.94865,0.000902224,0.000902224,0.000902224
70,21.4521,3.3957,1.41219,0.92314,0.60453,0.48904,0.49715,0.18621,2.45355,1.30126,0.94865,0.000908661,0.000908661,0.000908661
71,21.6483,2.62207,1.21405,0.9344,0.60453,0.48904,0.49715,0.18621,2.45355,1.30126,0.94865,0.0009149,0.0009149,0.0009149
72,21.8801,2.90474,1.37659,0.93131,0.58574,0.51433,0.51407,0.19677,2.40139,1.31322,0.93646,0.000920941,0.000920941,0.000920941
73,22.078,2.44209,1.15661,0.90911,0.58574,0.51433,0.51407,0.19677,2.40139,1.31322,0.93646,0.000926784,0.000926784,0.000926784
74,22.3632,2.89836,1.33262,0.91342,0.58574,0.51433,0.51407,0.19677,2.40139,1.31322,0.93646,0.000932429,0.000932429,0.000932429
75,22.5647,2.53303,1.18609,0.9052,0.59024,0.52108,0.51412,0.20977,2.3488,1.33369,0.92233,0.000937876,0.000937876,0.000937876
76,22.7836,2.76081,1.25296,0.88263,0.59024,0.52108,0.51412,0.20977,2.3488,1.33369,0.92233,0.000943125,0.000943125,0.000943125
77,23.0094,3.09896,1.3429,0.89062,0.59024,0.52108,0.51412,0.20977,2.3488,1.33369,0.92233,0.000948176,0.000948176,0.000948176
78,23.2239,2.19252,1.06988,0.88077,0.60904,0.51939,0.52641,0.20966,2.35464,1.36268,0.91694,0.000953029,0.000953029,0.000953029
79,23.4149,2.37311,1.14211,0.89559,0.60904,0.51939,0.52641,0.20966,2.35464,1.36268,0.91694,0.000957684,0.000957684,0.000957684
80,23.6171,2.67429,1.20793,0.87833,0.60904,0.51939,0.52641,0.20966,2.35464,1.36268,0.91694,0.000962141,0.000962141,0.000962141
81,23.8205,2.55217,1.15947,0.94937,0.61131,0.53626,0.53099,0.20041,2.38626,1.39084,0.91671,0.0009664,0.0009664,0.0009664
82,24.0387,2.75705,1.22537,0.90965,0.61131,0.53626,0.53099,0.20041,2.38626,1.39084,0.91671,0.000970461,0.000970461,0.000970461
83,24.2332,2.48161,1.22822,0.9512,0.61131,0.53626,0.53099,0.20041,2.38626,1.39084,0.91671,0.000974324,0.000974324,0.000974324
84,24.4484,2.6511,1.15991,0.88436,0.59482,0.54975,0.52288,0.20455,2.31693,1.40146,0.91047,0.000977989,0.000977989,0.000977989
85,24.6591,2.96104,1.25195,0.88611,0.59482,0.54975,0.52288,0.20455,2.31693,1.40146,0.91047,0.000981456,0.000981456,0.000981456
86,24.8556,2.56209,1.15282,0.88419,0.59482,0.54975,0.52288,0.20455,2.31693,1.40146,0.91047,0.000984725,0.000984725,0.000984725
87,25.0589,2.314,1.13537,0.90993,0.59482,0.54975,0.52288,0.20455,2.31693,1.40146,0.91047,0.000987796,0.000987796,0.000987796
88,25.2859,3.40449,1.3783,0.87328,0.59145,0.57336,0.52787,0.21029,2.28879,1.39751,0.90581,0.000990669,0.000990669,0.000990669
89,25.4979,2.68201,1.23069,0.89311,0.59145,0.57336,0.52787,0.21029,2.28879,1.39751,0.90581,0.000993344,0.000993344,0.000993344
90,25.6929,2.34272,1.21548,0.99343,0.59145,0.57336,0.52787,0.21029,2.28879,1.39751,0.90581,0.000995821,0.000995821,0.000995821
91,25.905,2.56853,1.19809,0.85927,0.59145,0.57336,0.52787,0.21029,2.28879,1.39751,0.90581,0.0009981,0.0009981,0.0009981
92,26.1068,1.99466,1.09867,0.96113,0.58586,0.57254,0.53937,0.22365,2.23451,1.37464,0.9005,0.00100018,0.00100018,0.00100018
93,26.3086,2.0995,1.11494,0.93983,0.58586,0.57254,0.53937,0.22365,2.23451,1.37464,0.9005,0.00100206,0.00100206,0.00100206
94,26.5198,2.55853,1.16051,0.8759,0.58586,0.57254,0.53937,0.22365,2.23451,1.37464,0.9005,0.00100375,0.00100375,0.00100375
95,26.7515,3.21762,1.22374,0.88217,0.58586,0.57254,0.53937,0.22365,2.23451,1.37464,0.9005,0.00100524,0.00100524,0.00100524
96,26.9679,2.61421,1.26869,0.947,0.57466,0.55818,0.52967,0.20831,2.36396,1.32872,0.91836,0.00100653,0.00100653,0.00100653
97,27.1639,2.34304,1.11734,0.92386,0.57466,0.55818,0.52967,0.20831,2.36396,1.32872,0.91836,0.00100762,0.00100762,0.00100762
